x	y	L8b2_24MART2014	L8b3_24MART2014	L8b4_24MART2014	L8b5_24MART2014	L8b2_25APR2014	L8b3_25APR2014	L8b4_25APR2014	L8b5_25APR2014	BG_24MART2014	BR_24MART2014	BNIR_24MART2014	GB_24MART2014	GR_24MART2014	GNIR_24MART2014	RB_24MART2014	RG_24MART2014	RNIR_24MART2014	NIRB_24MART2014	NIRG_24MART2014	NIRR_24MART2014	BG_25APR2014	BR_25APR2014	BNIR_25APR2014	GB_25APR2014	GR_25APR2014	GNIR_25APR2014	RB_25APR2014	RG_25APR2014	RNIR_25APR2014	NIRB_25APR2014	NIRG_25APR2014	NIRR_25APR2014	DEM	CScurv	CI	FA	TWI	LSF	CNBL	VDCN	VD	SLP	MRVBF	MRRTF	L8b2_mean	L8b3_mean	L8b4_mean	L8b5_mean	BG_mean	BR_mean	BNIR_mean	GB_mean	GR_mean	GNIR_mean	RB_mean	RG_mean	RNIR_mean	NIRB_mean	NIRG_mean	NIRR_mean
"21"	566010	5592300	0.0458	0.0642	0.0871	0.1619	0.059	0.0797	0.1028	0.1751	0.713396	0.525832	0.282891	1.401747	0.737084	0.396541	1.901747	1.356698	0.537986	3.534935	2.521807	1.858783	0.740276	0.57393	0.33695	1.350847	0.775292	0.455168	1.742373	1.289837	0.587093	2.967797	2.196989	1.703307	296.662292	-0.000137	-1.778148	9495.545898	8.196867	0.556204	209.814896	86.847412	0.410607	2.925406	1.448276	0.419231	0.0524	0.07195	0.09495	0.1685	0.728283530229326	0.551869404949974	0.310979228486647	1.37309160305343	0.757767245918905	0.42700296735905	1.81202290076336	1.31966643502432	0.563501483679525	3.21564885496183	2.34190410006949	1.77461822011585
"22"	566040	5592300	0.0459	0.0673	0.0912	0.1646	0.0595	0.083	0.1085	0.1783	0.682021	0.503289	0.278858	1.466231	0.737939	0.40887	1.986928	1.355126	0.55407	3.586057	2.445765	1.804824	0.716868	0.548387	0.333707	1.394958	0.764977	0.465508	1.823529	1.307229	0.608525	2.996639	2.148193	1.643318	295.073242	-0.000191	-1.973453	10398.71582	8.131866	0.685996	209.784668	85.288567	1.093569	3.397847	1.218119	0.318145	0.0527	0.07515	0.09985	0.17145	0.701264138389887	0.527791687531297	0.307378244386118	1.42599620493359	0.752628943415123	0.438320209973753	1.89468690702087	1.32867598137059	0.582385535141441	3.25332068311195	2.2814371257485	1.71707561342013
"23"	566070	5592300	0.0558	0.0812	0.1101	0.194	0.0627	0.089	0.1159	0.1889	0.687192	0.506812	0.287629	1.455197	0.737511	0.418557	1.973118	1.355911	0.567526	3.476703	2.389163	1.762035	0.704494	0.540984	0.331922	1.419458	0.767903	0.471149	1.848485	1.302247	0.613552	3.012759	2.122472	1.629853	293.294098	-0.000248	-2.197057	11393.648438	8.156698	0.756634	209.755005	83.539093	2.015957	3.618414	1.055873	0.305396	0.05925	0.0851	0.113	0.19145	0.696239717978849	0.524336283185841	0.309480282057979	1.43628691983122	0.753097345132743	0.444502481065552	1.90717299578059	1.32784958871915	0.590232436667537	3.23122362869198	2.2497062279671	1.69424778761062
"24"	566100	5592300	0.0643	0.1001	0.138	0.2326	0.0725	0.1059	0.1372	0.219	0.642358	0.465942	0.27644	1.556765	0.725362	0.430353	2.14619	1.378621	0.593293	3.617418	2.323676	1.685507	0.684608	0.528426	0.33105	1.46069	0.771866	0.483562	1.892414	1.295562	0.626484	3.02069	2.067989	1.59621	291.442871	-0.000304	-2.43183	12745.970703	8.255467	0.784379	209.725998	81.716888	3.092514	3.658877	1.035575	0.29412	0.0684	0.103	0.1376	0.2258	0.664077669902913	0.497093023255814	0.302922940655447	1.50584795321637	0.748546511627907	0.456155890168291	2.01169590643275	1.33592233009709	0.609388839681134	3.30116959064328	2.19223300970874	1.64098837209302
"25"	566130	5592300	0.0617	0.0963	0.1326	0.2214	0.0709	0.1028	0.1359	0.2125	0.640706	0.465309	0.278681	1.560778	0.726244	0.434959	2.149108	1.376947	0.598916	3.588331	2.299065	1.669683	0.689689	0.521707	0.333647	1.449929	0.756438	0.483765	1.916784	1.321985	0.639529	2.997179	2.067121	1.56365	289.571472	-0.000358	-2.639006	14579.745117	8.360384	0.834519	209.697403	79.874077	4.250671	3.757779	0.925235	0.285422	0.0663	0.09955	0.13425	0.21695	0.665996986438975	0.493854748603352	0.30560036874856	1.50150829562594	0.741527001862197	0.458861488822309	2.02488687782805	1.34856855851331	0.618806176538373	3.27224736048265	2.17930688096434	1.61601489757914
"26"	566160	5592300	0.0494	0.084	0.1154	0.1916	0.0573	0.0859	0.1114	0.1919	0.588095	0.428076	0.257829	1.700405	0.727903	0.438413	2.336032	1.37381	0.602296	3.878542	2.280952	1.660312	0.667055	0.514363	0.298593	1.499127	0.771095	0.447629	1.944154	1.296857	0.580511	3.34904	2.233993	1.722621	287.584045	-0.000412	-2.796968	16839.890625	8.412048	0.966861	209.669861	77.9142	5.631763	4.11209	0.700975	0.274924	0.05335	0.08495	0.1134	0.19175	0.628016480282519	0.470458553791887	0.278226857887875	1.59231490159325	0.749118165784832	0.443024771838331	2.12558575445173	1.33490288404944	0.591395045632334	3.5941893158388	2.25721012360212	1.69091710758377
"27"	566190	5592300	0.05	0.0711	0.0944	0.17	0.0469	0.0746	0.0805	0.1961	0.703235	0.529661	0.294118	1.422	0.753178	0.418235	1.888	1.327708	0.555294	3.4	2.390999	1.800847	0.628686	0.582609	0.239164	1.590618	0.926708	0.380418	1.716418	1.079088	0.410505	4.181237	2.628686	2.436025	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	0.04845	0.07285	0.08745	0.18305	0.66506520247083	0.554030874785592	0.264681780934171	1.50361197110423	0.833047455688965	0.397978694345807	1.80495356037152	1.20041180507893	0.477738322862606	3.7781217750258	2.51269732326699	2.09319611206404
"28"	566370	5592300	0.0435	0.0523	0.0659	0.1179	0.0499	0.0638	0.0687	0.1589	0.83174	0.660091	0.368957	1.202299	0.793627	0.443596	1.514943	1.260038	0.558948	2.710345	2.254302	1.789074	0.782132	0.726346	0.314034	1.278557	0.928675	0.40151	1.376754	1.076802	0.432347	3.184369	2.490596	2.312955	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	0.0467	0.05805	0.0673	0.1384	0.804478897502153	0.693907875185735	0.33742774566474	1.24304068522484	0.862555720653789	0.419436416184971	1.44111349036403	1.15934539190353	0.486271676300578	2.96359743040685	2.38415159345392	2.05646359583952
"29"	566400	5592300	0.0398	0.0461	0.0577	0.098	0.0485	0.0589	0.0667	0.1248	0.86334	0.689775	0.406122	1.158291	0.79896	0.470408	1.449749	1.251627	0.588776	2.462312	2.125813	1.69844	0.82343	0.727136	0.388622	1.214433	0.883058	0.471955	1.375258	1.132428	0.534455	2.573196	2.118845	1.871065	267.327026	-0.000133	0.163029	18521.484375	8.151443	1.563268	209.497894	57.829136	23.308702	5.866899	0.544295	0.170646	0.04415	0.0525	0.0622	0.1114	0.840952380952381	0.709807073954984	0.396319569120287	1.18912797281993	0.844051446945338	0.471274685816876	1.40883352208381	1.1847619047619	0.55834829443447	2.52321630804077	2.12190476190476	1.79099678456592
"30"	566430	5592300	0.0338	0.0384	0.0445	0.0693	0.0439	0.0519	0.0585	0.0922	0.880208	0.759551	0.487734	1.136095	0.862921	0.554113	1.316568	1.158854	0.642136	2.050296	1.804688	1.557303	0.845857	0.750427	0.476139	1.182232	0.887179	0.562907	1.332574	1.127168	0.63449	2.100228	1.776493	1.576068	265.335663	-8.7e-05	0.406203	17169.238281	8.27291	1.506005	209.484238	55.85141	25.144211	5.630996	0.61341	0.149243	0.03885	0.04515	0.0515	0.08075	0.86046511627907	0.754368932038835	0.481114551083591	1.16216216216216	0.876699029126213	0.559133126934984	1.32561132561133	1.140642303433	0.637770897832817	2.07850707850708	1.78848283499446	1.56796116504854
"31"	566460	5592300	0.0301	0.0346	0.0409	0.0622	0.0402	0.0472	0.0525	0.0805	0.869942	0.735941	0.483923	1.149502	0.845966	0.55627	1.358804	1.182081	0.657556	2.066445	1.797688	1.520782	0.851695	0.765714	0.499379	1.174129	0.899048	0.586335	1.30597	1.112288	0.652174	2.002488	1.705508	1.533333	263.522125	4.6e-05	-0.278358	14100.171875	8.023668	1.301424	209.470047	54.052086	26.768116	5.264843	0.516652	0.270876	0.03515	0.0409	0.0467	0.07135	0.859413202933985	0.752676659528908	0.492641906096706	1.16358463726885	0.875802997858672	0.57323055360897	1.32859174964438	1.14180929095355	0.654519971969166	2.0298719772404	1.74449877750611	1.52783725910064
"32"	566490	5592300	0.029	0.0357	0.0421	0.0643	0.0394	0.049	0.0556	0.0871	0.812325	0.688836	0.451011	1.231035	0.847981	0.55521	1.451724	1.179272	0.654743	2.217242	1.80112	1.527316	0.804082	0.708633	0.452354	1.243655	0.881295	0.562572	1.411168	1.134694	0.638347	2.21066	1.777551	1.566547	261.987396	0.000251	0.109642	10807.53125	7.707742	1.131378	209.456696	52.530708	28.121113	5.010184	0.372506	0.442573	0.0342	0.04235	0.04885	0.0757	0.807556080283353	0.700102354145343	0.451783355350066	1.23830409356725	0.866939611054248	0.559445178335535	1.42836257309942	1.15348288075561	0.645310435931308	2.21345029239766	1.7874852420307	1.5496417604913
