x	y	S2_B02_20160409	S2_B03_20160409	S2_B04_20160409	S2_B08_20160409	BG_20160409	BR_20160409	BNIR_20160409	GB_20160409	GR_20160409	GNIR_20160409	RB_20160409	RG_20160409	RNIR_20160409	NIRB_20160409	NIRG_20160409	NIRR_20160409	DEM	SLP	CS_curv	Long_curv	CI	FA	TWI	LSF	CNBL	VDCN	VD	RSP	MRVBF	MRRTF
565975.000000	5592255.000000	0.048300	0.060200	0.091100	0.157900	0.802326	0.530187	0.305890	1.246377	0.660812	0.381254	1.886128	1.513289	0.576947	3.269151	2.622924	1.733260	297.692627	2.583263	-0.000380	0.000802	-1.656328	3358.698730	8.380774	0.477901	240.961151	56.731476	0.051441	0.999093	1.594828	0.341024
565985.000000	5592255.000000	0.047900	0.059300	0.089700	0.149900	0.807757	0.534002	0.319546	1.237996	0.661092	0.395597	1.872651	1.512648	0.598399	3.129436	2.527825	1.671126	297.239502	2.871694	-0.000472	0.000797	-1.809365	3587.839355	8.340486	0.555544	240.680756	56.558762	0.118404	0.997909	1.516653	0.336680
565995.000000	5592255.000000	0.045700	0.056200	0.087100	0.144300	0.813167	0.524684	0.316701	1.229759	0.645235	0.389466	1.905908	1.549822	0.603604	3.157549	2.567616	1.656716	296.734100	3.160994	-0.000579	0.000723	-1.962665	3837.791748	8.310924	0.637627	240.404724	56.329376	0.227680	0.995972	1.403208	0.332146
566005.000000	5592255.000000	0.045100	0.055900	0.083900	0.138600	0.806798	0.537545	0.325397	1.239468	0.666269	0.403319	1.860310	1.500895	0.605339	3.073170	2.479428	1.651966	296.179382	3.394665	-0.000689	0.000579	-2.106046	4129.160156	8.311802	0.709503	240.133942	56.045452	0.376472	0.993325	1.278264	0.328051
566015.000000	5592255.000000	0.044800	0.053600	0.081000	0.134100	0.835821	0.553086	0.334079	1.196429	0.661728	0.399702	1.808036	1.511194	0.604027	2.993304	2.501866	1.655556	295.590088	3.536484	-0.000785	0.000375	-2.226413	4463.394531	8.347958	0.759715	239.867935	55.722160	0.553646	0.990159	1.172043	0.325121
566025.000000	5592255.000000	0.045000	0.053100	0.080900	0.136600	0.847458	0.556242	0.329429	1.180000	0.656366	0.388726	1.797778	1.523540	0.592240	3.035556	2.572505	1.688504	294.983795	3.590251	-0.000855	0.000135	-2.313754	4831.250000	8.411483	0.786948	239.605423	55.378380	0.744740	0.986727	1.111092	0.323796
566035.000000	5592255.000000	0.044200	0.055500	0.083300	0.140100	0.796396	0.530612	0.315489	1.255656	0.666267	0.396146	1.884615	1.500901	0.594575	3.169683	2.524324	1.681873	294.375671	3.578314	-0.000892	-0.000106	-2.362349	5205.065430	8.488817	0.795207	239.346420	55.029259	0.939987	0.983202	1.113579	0.323927
566045.000000	5592255.000000	0.045100	0.056800	0.089000	0.145700	0.794014	0.506742	0.309540	1.259423	0.638202	0.389842	1.973392	1.566902	0.610844	3.230598	2.565141	1.637079	293.775879	3.521031	-0.000893	-0.000300	-2.372287	5548.373047	8.568273	0.788611	239.092239	54.683659	1.130344	0.979744	1.154751	0.325159
566055.000000	5592255.000000	0.044900	0.058200	0.088200	0.146200	0.771478	0.509070	0.307114	1.296214	0.659864	0.398085	1.964365	1.515464	0.603283	3.256125	2.512028	1.657596	293.191406	3.419030	-0.000866	-0.000408	-2.354956	5839.279785	8.648210	0.766685	238.843353	54.348042	1.309509	0.976469	1.232538	0.327253
566065.000000	5592255.000000	0.044300	0.055000	0.085800	0.143700	0.805455	0.516317	0.308281	1.241535	0.641026	0.382742	1.936795	1.560000	0.597077	3.243793	2.612728	1.674825	292.629547	3.279256	-0.000828	-0.000419	-2.333456	6075.075195	8.728956	0.731757	238.598892	54.030647	1.469650	0.973517	1.329628	0.328624
566075.000000	5592255.000000	0.044300	0.056800	0.086800	0.144300	0.779930	0.510369	0.306999	1.282167	0.654378	0.393624	1.959368	1.528169	0.601525	3.257337	2.540493	1.662442	292.090759	3.147261	-0.000799	-0.000335	-2.335242	6301.319336	8.805707	0.698518	238.358368	53.732407	1.611664	0.970876	1.395017	0.324047
566085.000000	5592255.000000	0.044100	0.060400	0.091200	0.150000	0.730133	0.483553	0.294000	1.369614	0.662281	0.402667	2.068027	1.509934	0.608000	3.401361	2.483444	1.644737	291.667999	3.113906	-0.000755	-0.000209	-2.238729	6248.176758	8.808953	0.687977	238.148041	53.519955	1.710246	0.969033	1.400277	0.322008
566095.000000	5592255.000000	0.046300	0.060500	0.091200	0.147300	0.765289	0.507675	0.314324	1.306695	0.663377	0.410726	1.969762	1.507438	0.619145	3.181426	2.434711	1.615132	291.080444	3.162995	-0.000717	-0.000004	-2.094496	6092.208008	8.772642	0.699596	237.849548	53.230881	1.851219	0.966390	1.384481	0.316100
566475.000000	5592255.000000	0.028000	0.031200	0.040500	0.081000	0.897436	0.691358	0.345679	1.114286	0.770370	0.385185	1.446429	1.298077	0.500000	2.892858	2.596154	2.000000	259.375671	5.952242	0.000263	0.000807	0.175713	4162.620605	7.751895	1.470981	230.814438	28.561224	22.685898	0.557289	0.415042	0.252857
566485.000000	5592255.000000	0.026200	0.030300	0.040300	0.082500	0.864687	0.650124	0.317576	1.156488	0.751861	0.367273	1.538168	1.330033	0.488485	3.148854	2.722773	2.047146	258.846954	6.027720	0.000332	0.000703	0.297864	3550.914551	7.576882	1.448367	230.679321	28.167633	23.019703	0.550251	0.353646	0.299622
566495.000000	5592255.000000	0.026400	0.032200	0.043000	0.082800	0.819876	0.613953	0.318841	1.219697	0.748837	0.388889	1.628788	1.335404	0.519324	3.136364	2.571429	1.925581	258.389038	5.917542	0.000381	0.000525	0.407142	2964.848145	7.420237	1.365040	230.443604	27.945446	23.244133	0.545887	0.334224	0.336039
566505.000000	5592255.000000	0.028400	0.033800	0.045500	0.085600	0.840237	0.624176	0.331776	1.190140	0.742857	0.394860	1.602112	1.346154	0.531542	3.014084	2.532545	1.881319	257.926147	5.703367	0.000377	0.000383	0.422155	2643.956055	7.345226	1.272322	230.201904	27.724258	23.475620	0.541458	0.378745	0.324722
566515.000000	5592255.000000	0.030100	0.035200	0.047400	0.086200	0.855114	0.635021	0.349188	1.169435	0.742616	0.408353	1.574751	1.346591	0.549884	2.863787	2.448864	1.818565	257.473511	5.403929	0.000371	0.000321	0.412241	2449.988770	7.324243	1.168724	229.954590	27.518940	23.699131	0.537259	0.430473	0.316958
566525.000000	5592255.000000	0.030800	0.035500	0.049400	0.089000	0.867606	0.623482	0.346067	1.152597	0.718624	0.398876	1.603896	1.391549	0.555056	2.889611	2.507042	1.801620	257.043884	5.044465	0.000418	0.000359	0.471260	2306.737061	7.333713	1.056309	229.699692	27.344173	23.902809	0.533547	0.460544	0.333157
566535.000000	5592255.000000	0.031600	0.036700	0.051000	0.094400	0.861035	0.619608	0.334746	1.161392	0.719608	0.388771	1.613924	1.389646	0.540254	2.987342	2.572207	1.850981	256.640533	4.693504	0.000555	0.000486	0.672718	2182.327148	7.350836	0.951412	229.436615	27.203907	24.083702	0.530392	0.479566	0.352404
566545.000000	5592255.000000	0.031900	0.037600	0.050700	0.094900	0.848404	0.629191	0.336143	1.178683	0.741617	0.396207	1.589341	1.348404	0.534247	2.974921	2.523936	1.871795	256.256531	4.451064	0.000760	0.000663	0.988429	2050.518311	7.341648	0.877115	229.166794	27.089722	24.248226	0.527650	0.484763	0.370690
566555.000000	5592255.000000	0.032100	0.037100	0.051600	0.095400	0.865229	0.622093	0.336478	1.155763	0.718992	0.388889	1.607477	1.390836	0.540881	2.971962	2.571429	1.848837	255.870728	4.407228	0.000971	0.000829	1.300761	1898.957886	7.275376	0.852841	228.891159	26.979568	24.417274	0.524903	0.474509	0.385827
566565.000000	5592255.000000	0.031100	0.037800	0.053100	0.098300	0.822751	0.585687	0.316378	1.215434	0.711864	0.384537	1.707396	1.404762	0.540183	3.160772	2.600529	1.851224	255.446869	4.563880	0.001118	0.000913	1.488181	1760.835327	7.166001	0.879197	228.609039	26.837822	24.627506	0.521451	0.445416	0.404708
566575.000000	5592255.000000	0.030100	0.038900	0.052300	0.098200	0.773779	0.575526	0.306517	1.292359	0.743786	0.396130	1.737541	1.344473	0.532587	3.262458	2.524421	1.877629	254.953110	4.816321	0.001166	0.000871	1.509321	1687.417969	7.022300	0.926247	228.321838	26.631264	24.910179	0.516674	0.375590	0.464303
566585.000000	5592255.000000	0.031300	0.035900	0.047300	0.096500	0.871866	0.661734	0.324352	1.146965	0.758985	0.372021	1.511182	1.317549	0.490155	3.083067	2.688022	2.040169	254.385101	5.011708	0.001124	0.000707	1.403767	1687.070068	6.886730	0.956719	228.031403	26.353714	25.268799	0.510487	0.305360	0.532723
566595.000000	5592255.000000	0.026900	0.030100	0.039600	0.081300	0.893688	0.679293	0.330873	1.118959	0.760101	0.370234	1.472119	1.315615	0.487085	3.022304	2.700996	2.053030	253.975372	5.032525	0.001027	0.000493	1.635153	1735.715454	6.925837	0.969608	227.735992	26.239380	25.503607	0.507094	0.308873	0.527922
565955.000000	5592265.000000	0.044300	0.056000	0.086700	0.147100	0.791071	0.510957	0.301156	1.264108	0.645905	0.380693	1.957111	1.548214	0.589395	3.320542	2.626786	1.696655	298.539429	2.032837	-0.000149	0.000729	-1.025686	2769.049561	8.428122	0.336954	241.384415	57.155003	0.000000	1.000000	1.715064	0.364858
565965.000000	5592265.000000	0.046700	0.058300	0.089300	0.153500	0.801029	0.522956	0.304235	1.248394	0.652856	0.379805	1.912205	1.531732	0.581759	3.286938	2.632933	1.718925	298.227997	2.246455	-0.000198	0.000796	-1.188714	2945.677246	8.389940	0.388355	241.159973	57.068020	0.003647	0.999936	1.624108	0.353758
565975.000000	5592265.000000	0.049100	0.058600	0.090100	0.154500	0.837884	0.544950	0.317799	1.193483	0.650388	0.379288	1.835030	1.537543	0.583171	3.146640	2.636519	1.714761	297.839081	2.523508	-0.000253	0.000856	-1.320809	3123.235107	8.332044	0.457006	240.877075	56.962006	0.017555	0.999691	1.577712	0.345490
